Name,POS,Age,HT,WT,NAT,APP,SUB,G,A,SH,ST,FC,FA,YC,RC
Axel Disasi2,D,26,1.91 m,83 kg,France,0,0,0,0,0,0,0,0,0,0
Marc Cucurella3,D,26,1.73 m,66 kg,Spain,3,0,0,0,0,0,3,6,1,0
Tosin Adarabioyo4,D,26,1.96 m,78 kg,England,0,0,0,0,0,0,0,0,0,0
Benoît Badiashile5,D,23,1.93 m,73 kg,France,0,0,0,0,0,0,0,0,0,0
Levi Colwill6,D,21,1.88 m,83 kg,England,3,0,0,0,2,1,1,4,0,0
Ben Chilwell21,D,27,1.78 m,77 kg,England,--,--,--,--,--,--,--,--,--,--
Reece James24,D,24,1.83 m,82 kg,England,--,--,--,--,--,--,--,--,--,--
Malo Gusto27,D,21,1.78 m,67 kg,France,3,0,0,0,1,0,4,1,1,0
Wesley Fofana29,D,23,1.91 m,83 kg,France,3,0,0,0,1,0,7,4,1,0
Josh Acheampong34,D,18,1.85 m,--,England,--,--,--,--,--,--,--,--,--,--
Enzo Fernández8,M,23,1.78 m,76 kg,Argentina,3,0,0,0,3,1,1,4,0,0
Mykhailo Mudryk10,M,23,1.75 m,59 kg,Ukraine,2,1,0,0,0,0,1,1,0,0
Carney Chukwuemeka17,M,20,1.88 m,77 kg,England,--,--,--,--,--,--,--,--,--,--
Cole Palmer20,M,22,1.88 m,76 kg,England,3,0,1,4,9,2,1,2,2,0
Kiernan Dewsbury-Hall22,M,26,1.78 m,--,England,2,2,0,0,0,0,1,1,0,0
Moisés Caicedo25,M,22,1.78 m,73 kg,Ecuador,3,0,0,0,1,0,4,4,1,0
Cesare Casadei31,M,21,1.85 m,--,Italy,0,0,0,0,0,0,0,0,0,0
Renato Veiga40,M,21,1.91 m,87 kg,Portugal,2,2,0,0,0,0,1,0,0,0
Romeo Lavia45,M,20,1.8 m,--,Belgium,1,0,0,0,0,0,1,0,0,0
David Datro Fofana,F,21,1.8 m,76 kg,Ivory Coast,--,--,--,--,--,--,--,--,--,--
Pedro Neto7,F,24,1.73 m,62 kg,Portugal,3,2,0,1,1,0,1,1,1,0
Noni Madueke11,F,22,1.83 m,73 kg,England,2,0,3,0,9,6,1,2,0,0
João Félix14,F,24,1.8 m,68 kg,Portugal,2,2,1,0,3,2,0,1,0,0
Nicolas Jackson15,F,23,1.85 m,78 kg,Senegal,3,0,2,1,5,4,5,3,1,0
Christopher Nkunku18,F,26,1.78 m,68 kg,France,3,2,0,0,1,0,2,0,0,0
Jadon Sancho19,F,24,1.8 m,76 kg,England,--,--,--,--,--,--,--,--,--,--
Tyrique George32,F,18,--,--,England,--,--,--,--,--,--,--,--,--,--
Deivid Washington36,F,19,1.85 m,73 kg,Brazil,--,--,--,--,--,--,--,--,--,--
Omari Kellyman37,F,18,1.91 m,--,England,--,--,--,--,--,--,--,--,--,--
Marc Guiu38,F,18,1.88 m,82 kg,Spain,1,1,0,0,0,0,0,0,0,0
